,Date,Unix,Ticker,DE Ratio,Price,sp500
0,2004-01-30 19:01:02,1075485662.0,a,0.407,36.65,1131.130005
1,2004-04-13 04:07:11,1081822031.0,a,0.375,31.87,1129.439941
2,2004-12-13 21:37:34,1102970254.0,a,0.323,23.84,1198.680054
3,2005-01-22 05:17:19,1106367439.0,a,0.322,21.8,1184.630005
4,2006-01-09 02:35:16,1136770516.0,a,0.0,34.65,1290.150024
5,2006-06-21 11:01:16,1150880476.0,a,0.368,32.18,1252.199951
6,2006-08-19 10:42:01,1155976921.0,a,0.396,31.8,1295.430054
7,2007-02-20 17:46:56,1171990016.0,a,0.411,32.48,1459.680054
8,2007-04-12 05:07:51,1176347271.0,a,0.411,34.62,1447.800049
9,2008-01-23 19:28:50,1201112930.0,a,0.645,32.16,1338.599976
10,2008-02-14 04:44:34,1202960674.0,a,0.645,32.68,1348.859985
11,2008-04-26 04:49:23,1209178163.0,a,0.67,31.53,1379.930054
12,2008-12-06 19:21:33,1228587693.0,a,0.83,17.26,870.73999
13,2004-04-13 04:20:10,1081822810.0,aa,0.595,34.26,1129.439941
14,2004-09-09 16:15:45,1094739345.0,aa,0.561,32.89,1118.380005
15,2004-11-24 10:37:20,1101289040.0,aa,0.53,33.58,1181.76001
16,2004-12-05 00:36:42,1102203402.0,aa,0.53,32.86,1190.329956
17,2005-01-13 07:18:32,1105597112.0,aa,0.457,29.43,1177.449951
18,2005-02-07 03:48:37,1107744517.0,aa,0.457,29.37,1201.719971
19,2005-05-22 08:48:23,1116744503.0,aa,0.543,27.45,1191.079956
20,2006-06-20 04:32:21,1150770741.0,aa,0.526,29.1,1240.119995
21,2007-01-25 19:09:37,1169748577.0,aa,0.494,31.46,1423.900024
22,2007-02-23 09:03:42,1172217822.0,aa,0.494,34.75,1451.189941
23,2007-05-16 21:12:47,1179342767.0,aa,0.494,39.04,1514.140015
24,2007-06-22 06:39:12,1182487152.0,aa,0.503,40.34,1502.560059
25,2007-10-11 20:57:59,1192129079.0,aa,0.47,38.08,1554.410034
26,2008-01-23 16:05:53,1201100753.0,aa,0.499,28.04,1338.599976
27,2008-10-28 00:52:22,1225151542.0,aa,0.672,9.04,940.51001
28,2008-12-05 01:03:15,1228435395.0,aa,0.672,8.06,876.070007
29,2008-12-06 09:33:46,1228552426.0,aa,0.672,8.15,870.73999
30,2008-12-18 10:54:07,1229594047.0,aa,0.672,10.35,885.2800289999999
31,2003-12-07 10:36:10,1070789770.0,aapl,0.072,20.85,1069.719971
32,2004-02-03 07:33:34,1075790014.0,aapl,0.07,22.32,1136.030029
33,2004-06-03 01:20:38,1086218438.0,aapl,0.0,28.92,1116.640015
34,2004-08-10 02:02:44,1092096164.0,aapl,0.0,30.3,1079.040039
35,2004-10-12 05:40:57,1097552457.0,aapl,0.0,38.59,1121.839966
36,2004-12-04 14:16:51,1102166211.0,aapl,0.0,62.68,1191.369995
37,2005-01-26 15:16:47,1106749007.0,aapl,0.0,71.94,1174.069946
38,2005-02-04 03:07:08,1107482828.0,aapl,0.0,77.81,1203.030029
39,2005-03-01 10:36:03,1109669763.0,aapl,0.0,44.86,1210.410034
40,2005-12-17 11:55:53,1134816953.0,aapl,0.0,71.11,1272.73999
41,2006-01-25 09:43:52,1138178632.0,aapl,0.0,76.04,1264.680054
42,2003-10-26 16:06:32,1067180792.0,abc,0.592,57.01,1033.77002
43,2004-01-28 07:37:34,1075271854.0,abc,0.429,56.36,1128.47998
44,2004-05-16 19:24:15,1084728255.0,abc,0.412,58.97,1096.439941
45,2004-10-20 01:31:26,1098228686.0,abc,0.331,52.1,1103.660034
46,2005-01-08 07:45:42,1105166742.0,abc,0.332,57.9,1183.73999
47,2005-03-30 19:52:42,1112205162.0,abc,0.291,55.44,1181.410034
48,2005-05-26 01:50:44,1117065044.0,abc,0.23,65.93,1197.619995
49,2005-12-04 08:46:13,1133682373.0,abc,0.223,79.46,1264.670044
50,2007-02-20 06:12:02,1171948322.0,abc,0.308,54.9,1459.680054
51,2007-04-05 16:11:07,1175782267.0,abc,0.308,53.94,1443.76001
52,2008-01-23 20:34:05,1201116845.0,abc,0.396,45.55,1338.599976
53,2004-09-20 13:31:02,1095679862.0,abt,0.543,42.92,1122.199951
54,2004-10-23 22:48:08,1098564488.0,abt,0.543,40.86,1103.660034
55,2005-01-25 12:44:11,1106653451.0,abt,0.508,45.93,1168.410034
56,2005-02-28 19:21:54,1109614914.0,abt,0.508,45.61,1203.599976
57,2006-06-17 18:01:01,1150560061.0,abt,0.436,42.78,1230.040039
58,2006-07-18 12:32:14,1153218734.0,abt,0.436,44.48,1236.859985
59,2007-01-13 21:19:42,1168719582.0,abt,0.604,50.45,1414.849976
60,2007-03-23 02:47:40,1174614460.0,abt,0.883,54.5,1436.109985
61,2007-04-10 20:13:09,1176228789.0,abt,0.883,57.11,1448.390015
62,2007-06-03 02:36:35,1180830995.0,abt,0.871,56.3,1530.619995
63,2008-01-23 23:41:45,1201128105.0,abt,0.784,57.97,1338.599976
64,2008-04-28 03:46:55,1209347215.0,abt,0.687,51.28,1396.369995
65,2008-10-23 21:57:42,1224791862.0,abt,0.732,55.02,908.1099849999999
66,2008-12-25 05:30:56,1230179456.0,abt,0.546,52.65,871.6300050000001
67,2004-08-16 22:53:27,1092689607.0,ace,0.26,39.1,1079.339966
68,2004-10-10 11:27:42,1097400462.0,ace,0.26,41.04,1130.650024
69,2005-01-13 13:27:29,1105619249.0,ace,0.21,42.76,1177.449951
70,2007-02-20 18:32:05,1171992725.0,ace,0.171,58.6,1459.680054
71,2007-04-05 15:54:06,1175781246.0,ace,0.171,57.24,1443.76001
72,2008-01-23 21:48:58,1201121338.0,ace,0.154,59.98,1338.599976
73,2003-12-15 23:12:24,1071526344.0,aci,1.074,30.78,1068.040039
74,2005-01-24 04:33:07,1106537587.0,aci,1.18,34.52,1163.75
75,2005-02-05 03:36:51,1107571011.0,aci,1.18,38.4,1193.189941
76,2005-03-30 06:50:28,1112158228.0,aci,0.936,41.15,1181.410034
77,2006-05-24 04:17:01,1148437021.0,aci,0.854,46.39,1258.569946
78,2007-03-11 21:41:07,1173645667.0,aci,0.86,30.08,1401.890015
79,2007-04-07 18:52:27,1175964747.0,aci,0.86,33.93,1439.369995
80,2008-03-02 17:50:27,1204476627.0,aci,0.851,51.09,1367.680054
81,2008-06-05 02:23:56,1212625436.0,aci,0.899,67.52,1404.050049
82,2008-10-08 20:51:28,1223491888.0,aci,0.772,25.11,984.9400019999999
83,2008-12-05 05:35:57,1228451757.0,aci,0.767,11.93,876.070007
84,2003-11-08 10:24:47,1068283487.0,acn,0.076,25.05,1051.810059
85,2004-12-10 06:26:24,1102656384.0,acn,0.023,26.2,1188.0
86,2005-02-10 03:10:56,1108001456.0,acn,0.023,25.51,1197.01001
87,2005-04-04 05:07:40,1112584060.0,acn,0.023,24.44,1176.119995
88,2005-09-04 02:06:58,1125792418.0,acn,0.04,25.31,1221.589966
89,2006-06-03 23:44:14,1149371054.0,acn,0.045,27.89,1270.089966
90,2006-08-22 00:50:41,1156200641.0,acn,0.034,28.57,1298.819946
91,2006-08-22 06:44:05,1156221845.0,acn,0.034,28.57,1298.819946
92,2006-08-27 03:22:58,1156641778.0,acn,0.034,28.36,1296.060059
93,2006-11-02 16:40:55,1162482055.0,acn,0.027,32.96,1367.339966
94,2006-11-11 01:01:42,1163203302.0,acn,0.027,33.87,1385.719971
95,2006-12-03 00:17:12,1165101432.0,acn,0.027,33.81,1400.630005
96,2007-03-14 19:10:39,1173895839.0,acn,0.018,35.39,1387.170044
97,2007-05-05 07:47:14,1178344034.0,acn,0.015,39.1,1495.920044
98,2007-06-05 04:17:34,1181009854.0,acn,0.015,41.24,1530.949951
99,2007-07-06 07:06:36,1183698396.0,acn,0.015,42.81,1530.439941
100,2008-04-07 01:42:51,1207525371.0,acn,0.004,36.77,1372.540039
101,2008-10-18 23:21:07,1224364867.0,acn,0.003,31.4,907.840027
102,2008-12-02 16:28:13,1228231693.0,acn,0.003,29.98,848.8099980000001
103,2008-12-21 20:10:46,1229886646.0,acn,0.001,32.21,885.2800289999999
